emotion,layer,overlap_cosine,parallel_fraction,full_sycophancy,orthogonal_sycophancy,full_emotion,orthogonal_emotion,sycophancy_reduction,emotion_preservation
optimistic,27,0.06726612,0.004524728,6.220337235927582,3.399319040775299,17.051272344589233,16.198205041885377,2.8210181951522832,0.94997046053431
delighted,20,0.2034908,0.04140848,4.180374872684479,0.8102217048406601,15.578087520599365,15.030018281936645,3.370153167843819,0.9648179381494685
delighted,21,0.2034908,0.04140848,4.646379733085633,1.023857417702675,14.853691148757935,14.204007387161255,3.622522315382958,0.9562611235759397
delighted,22,0.2034908,0.04140848,4.691324925422668,0.9583104610443115,14.8787926197052,14.23773546218872,3.7330144643783565,0.956914705789536
delighted,23,0.2034908,0.04140848,5.624102854728699,1.4912757277488708,15.114015102386475,14.259209775924683,4.132827126979828,0.943442869371831
delighted,24,0.2034908,0.04140848,5.997572994232177,1.545338985323906,15.905090856552125,14.982955503463746,4.452234008908271,0.9420226290182742
delighted,25,0.2034908,0.04140848,6.870158004760742,1.987452858686447,16.40278630256653,15.37645001411438,4.882705146074295,0.9374291495651833
delighted,26,0.2034908,0.04140848,7.263052964210511,2.146163064241409,17.392367792129516,16.369510984420778,5.1168898999691015,0.9411893297144046
delighted,27,0.2034908,0.04140848,12.384256172180176,5.57810788154602,19.644746780395508,17.313715505599976,6.806148290634156,0.8813407319089607
thankful,20,-0.029749379,0.00088502554,-0.270966674387455,0.15909531861543655,13.740164279937744,13.748517560958863,0.11187135577201843,1.0006079462261828
thankful,21,-0.029749379,0.00088502554,-0.4857030726969242,-0.024059314280748367,12.815677547454834,12.816724061965942,0.46164375841617583,1.0000816589296377
thankful,22,-0.029749379,0.00088502554,-0.23888184316456318,0.23821529150009155,12.289040756225585,12.295730352401733,0.0006665516644716318,1.0005443546252997
thankful,23,-0.029749379,0.00088502554,-0.33652408346533774,0.19768223986029626,12.157610654830933,12.159950971603394,0.13884184360504148,1.0001924980852657
thankful,24,-0.029749379,0.00088502554,0.021444792672991753,0.6013825260102749,12.790502643585205,12.801498174667358,-0.5799377333372832,1.0008596637199139
thankful,25,-0.029749379,0.00088502554,-0.16463485918939114,0.4716116517782211,12.828435754776,12.84226098060608,-0.30697679258883,1.001077701607145
thankful,26,-0.029749379,0.00088502554,0.23609198182821273,0.9048156149685382,13.068577909469605,13.084114027023315,-0.6687236331403255,1.0011888147020536
thankful,27,-0.029749379,0.00088502554,-1.409400260448456,-0.5161406330764293,14.142284870147705,13.998539972305299,0.8932596273720266,0.9898358080633893
