question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval05,emotion,20,13,0.061681270599365234,0.04729604721069336
eval05,emotion,20,14,0.054299354553222656,0.06668472290039062
eval05,emotion,20,15,0.04546070098876953,0.1812453269958496
eval05,emotion,20,16,0.01389312744140625,0.023237228393554688
eval05,emotion,20,17,-0.006222724914550781,0.015509605407714844
eval05,emotion,20,18,0.010254859924316406,0.029544830322265625
eval05,emotion,20,19,0.002826690673828125,-0.0030775070190429688
eval05,emotion,20,20,0.0029163360595703125,0.0001964569091796875
eval05,emotion,27,1,3.1131019592285156,3.7629241943359375
eval05,emotion,27,2,0.8449783325195312,2.161203384399414
eval05,emotion,27,3,1.63226318359375,0.9643731117248535
eval05,emotion,27,4,0.34429931640625,0.2290019989013672
eval05,emotion,27,5,0.16808700561523438,0.4418468475341797
eval05,emotion,27,6,0.9966659545898438,0.25937747955322266
eval05,emotion,27,7,0.511749267578125,0.59246826171875
eval05,emotion,27,8,0.7914657592773438,0.5463075637817383
eval05,emotion,27,9,-0.10550689697265625,-0.18697452545166016
eval05,emotion,27,10,0.281646728515625,0.3549013137817383
eval05,emotion,27,11,0.19657135009765625,0.41521358489990234
eval05,emotion,27,12,-0.07120513916015625,0.37052154541015625
eval05,emotion,27,13,0.07018661499023438,0.41892337799072266
eval05,emotion,27,14,-0.5074806213378906,0.18761062622070312
eval05,emotion,27,15,0.4734954833984375,0.5527915954589844
eval05,emotion,27,16,0.7461471557617188,0.5997743606567383
eval05,emotion,27,17,0.4213676452636719,0.1631002426147461
eval05,emotion,27,18,0.22736167907714844,0.2614765167236328
eval05,emotion,27,19,-0.40203094482421875,0.30172157287597656
eval05,emotion,27,20,-0.07011985778808594,-0.010684967041015625
eval05,persona,20,1,0.8442649841308594,0.318295955657959
eval05,persona,20,2,0.37023162841796875,0.18874454498291016
eval05,persona,20,3,0.20791912078857422,0.07062768936157227
eval05,persona,20,4,0.2215290069580078,0.10150337219238281
eval05,persona,20,5,0.13565635681152344,0.0604097843170166
eval05,persona,20,6,0.09928417205810547,0.07092046737670898
eval05,persona,20,7,0.06444644927978516,0.02966451644897461
eval05,persona,20,8,0.03419780731201172,0.061556339263916016
eval05,persona,20,9,0.0804826021194458,0.02774953842163086
eval05,persona,20,10,0.13605594635009766,0.07202553749084473
eval05,persona,20,11,0.0830303430557251,0.045159101486206055
eval05,persona,20,12,0.06745827198028564,0.01703810691833496
eval05,persona,20,13,0.1186981201171875,0.02119302749633789
eval05,persona,20,14,0.1435070037841797,0.040535926818847656
eval05,persona,20,15,0.11487865447998047,0.11161184310913086
eval05,persona,20,16,0.06177330017089844,0.008606910705566406
eval05,persona,20,17,-0.009618759155273438,-0.0374608039855957
eval05,persona,20,18,0.006258964538574219,0.017896175384521484
eval05,persona,20,19,0.019351482391357422,-0.0070378780364990234
eval05,persona,20,20,0.007776498794555664,0.0006129741668701172
eval05,persona,27,1,7.8885650634765625,3.786417007446289
eval05,persona,27,2,3.1281814575195312,1.7490463256835938
eval05,persona,27,3,4.439189910888672,0.8828029632568359
eval05,persona,27,4,0.9356689453125,0.1801738739013672
eval05,persona,27,5,1.1224594116210938,0.5398468971252441
eval05,persona,27,6,1.7311935424804688,0.5234174728393555
eval05,persona,27,7,0.638671875,0.37404441833496094
eval05,persona,27,8,0.7711563110351562,0.10958623886108398
eval05,persona,27,9,0.374664306640625,0.06560897827148438
eval05,persona,27,10,1.7632865905761719,0.4898805618286133
