question_id,condition,layer,delta_sycophancy_projection,delta_emotion_projection
eval09,emotion_orthogonal,20,0.13646554946899414,10.18586254119873
eval09,emotion_orthogonal,21,0.09310531616210938,10.034303903579712
eval09,emotion_orthogonal,22,0.1548147201538086,9.953078269958496
eval09,emotion_orthogonal,23,0.553370475769043,10.09997844696045
eval09,emotion_orthogonal,24,0.595268726348877,10.513416290283203
eval09,emotion_orthogonal,25,0.7898526191711426,10.621048927307129
eval09,emotion_orthogonal,26,0.8481531143188477,11.353683471679688
eval09,emotion_orthogonal,27,2.1624460220336914,13.012167930603027
eval09,emotion_orthogonal_matched,20,0.14549756050109863,10.58182144165039
eval09,emotion_orthogonal_matched,21,0.09647130966186523,10.417925119400024
eval09,emotion_orthogonal_matched,22,0.16051435470581055,10.3347749710083
eval09,emotion_orthogonal_matched,23,0.5730743408203125,10.488110542297363
eval09,emotion_orthogonal_matched,24,0.616666316986084,10.917383193969727
eval09,emotion_orthogonal_matched,25,0.8164758682250977,11.029768943786621
eval09,emotion_orthogonal_matched,26,0.8552207946777344,11.808364868164062
eval09,emotion_orthogonal_matched,27,2.187509536743164,13.514666557312012
eval09,random_control,20,0.405195951461792,0.10295522212982178
eval09,random_control,21,0.4737234115600586,0.1139669418334961
eval09,random_control,22,0.3710355758666992,0.1575155258178711
eval09,random_control,23,0.6552577018737793,0.03532981872558594
eval09,random_control,24,0.7461371421813965,0.06189727783203125
eval09,random_control,25,0.8849191665649414,0.18843555450439453
eval09,random_control,26,0.8574399948120117,0.12526893615722656
eval09,random_control,27,1.2661066055297852,0.6926355361938477
eval10,emotion_positive,20,3.3861281871795654,11.149375915527344
eval10,emotion_positive,21,3.5949807167053223,11.129393100738525
eval10,emotion_positive,22,3.7149510383605957,11.187621116638184
eval10,emotion_positive,23,4.52006196975708,11.621209621429443
eval10,emotion_positive,24,4.9340715408325195,12.240180969238281
eval10,emotion_positive,25,5.534709930419922,12.608562469482422
eval10,emotion_positive,26,5.983885765075684,13.713748931884766
eval10,emotion_positive,27,8.267049789428711,15.294758796691895
eval10,emotion_orthogonal,20,0.10868263244628906,10.207145690917969
eval10,emotion_orthogonal,21,0.03142404556274414,10.161060810089111
eval10,emotion_orthogonal,22,0.01169586181640625,10.203425407409668
eval10,emotion_orthogonal,23,0.38966894149780273,10.444310665130615
eval10,emotion_orthogonal,24,0.43266916275024414,10.964662551879883
eval10,emotion_orthogonal,25,0.5792074203491211,11.142301559448242
eval10,emotion_orthogonal,26,0.6973028182983398,12.199111938476562
eval10,emotion_orthogonal,27,1.1657304763793945,12.246163368225098
eval10,emotion_orthogonal_matched,20,0.11973929405212402,10.608744621276855
eval10,emotion_orthogonal_matched,21,0.03833961486816406,10.55719804763794
