emotion,condition,layer,overlap_cosine,parallel_fraction,mean_delta_sycophancy_projection,mean_delta_emotion_projection
afraid,full,25,0.010147585,0.000102973594,0.06369004417210818,8.776843237876893
afraid,full,26,0.010147585,0.000102973594,-0.11939276829361915,9.326453828811646
afraid,full,27,0.010147585,0.000102973594,-2.1857046097517014,9.542274332046508
afraid,orthogonal_matched,20,0.010147585,0.000102973594,-0.04468702655285597,8.708703088760377
afraid,orthogonal_matched,21,0.010147585,0.000102973594,-0.05251854658126831,8.414050102233887
afraid,orthogonal_matched,22,0.010147585,0.000102973594,-0.11644700150936842,8.243417286872864
afraid,orthogonal_matched,23,0.010147585,0.000102973594,-0.12259898195043206,8.181118702888488
afraid,orthogonal_matched,24,0.010147585,0.000102973594,-0.008003038167953492,8.502824139595031
afraid,orthogonal_matched,25,0.010147585,0.000102973594,-0.08356291707605124,8.77952208518982
afraid,orthogonal_matched,26,0.010147585,0.000102973594,-0.2767082009464502,9.329433679580688
afraid,orthogonal_matched,27,0.010147585,0.000102973594,-2.383960562944412,9.580407238006591
depressed,full,20,-0.08622116,0.0074340845,-0.9267121374607086,9.242051315307616
depressed,full,21,-0.08622116,0.0074340845,-1.0443230599164963,9.048624658584595
depressed,full,22,-0.08622116,0.0074340845,-1.1217202216386795,9.117426824569701
depressed,full,23,-0.08622116,0.0074340845,-1.4857867002487182,9.166549158096313
depressed,full,24,-0.08622116,0.0074340845,-1.544283539056778,9.692571306228638
depressed,full,25,-0.08622116,0.0074340845,-1.6719441056251525,9.901353216171264
depressed,full,26,-0.08622116,0.0074340845,-1.8677679240703582,10.339385414123536
depressed,full,27,-0.08622116,0.0074340845,-1.4196528553962708,10.996029233932495
depressed,orthogonal_matched,20,-0.08622116,0.0074340845,-0.09524898771196603,9.206505250930785
depressed,orthogonal_matched,21,-0.08622116,0.0074340845,-0.15550688216462732,8.998364067077636
depressed,orthogonal_matched,22,-0.08622116,0.0074340845,-0.2078829687088728,9.07055859565735
depressed,orthogonal_matched,23,-0.08622116,0.0074340845,-0.4634909316897392,9.086707878112794
depressed,orthogonal_matched,24,-0.08622116,0.0074340845,-0.4294664978981018,9.617195844650269
depressed,orthogonal_matched,25,-0.08622116,0.0074340845,-0.45125951506197454,9.826895713806152
depressed,orthogonal_matched,26,-0.08622116,0.0074340845,-0.5941287219524384,10.280883502960204
depressed,orthogonal_matched,27,-0.08622116,0.0074340845,0.26811893880367277,11.087158679962158
horrified,full,20,0.0586291,0.0034373673,0.47763862162828447,11.187552881240844
horrified,full,21,0.0586291,0.0034373673,0.7265452355146408,9.606361722946167
horrified,full,22,0.0586291,0.0034373673,0.4055982127785683,8.438760089874268
horrified,full,23,0.0586291,0.0034373673,0.2611118532717228,7.978444004058838
horrified,full,24,0.0586291,0.0034373673,0.14105533733963965,7.639486908912659
horrified,full,25,0.0586291,0.0034373673,0.23422218933701516,7.6312705993652346
horrified,full,26,0.0586291,0.0034373673,-0.2673252284526825,7.316480565071106
horrified,full,27,0.0586291,0.0034373673,-1.9012228429317475,6.6845008611679075
horrified,orthogonal_matched,20,0.0586291,0.0034373673,-0.2407470867037773,11.18993182182312
horrified,orthogonal_matched,21,0.0586291,0.0034373673,-0.0413508802652359,9.591220235824585
horrified,orthogonal_matched,22,0.0586291,0.0034373673,-0.3865066200494766,8.432855987548828
horrified,orthogonal_matched,23,0.0586291,0.0034373673,-0.6267683528363704,7.976666712760926
horrified,orthogonal_matched,24,0.0586291,0.0034373673,-0.822512598335743,7.667790055274963
horrified,orthogonal_matched,25,0.0586291,0.0034373673,-0.818175733089447,7.668500757217407
horrified,orthogonal_matched,26,0.0586291,0.0034373673,-1.3658881425857543,7.3384709596633915
horrified,orthogonal_matched,27,0.0586291,0.0034373673,-3.3391415894031526,6.910073518753052
disgusted,full,20,-0.022107346,0.00048873405,-0.36754105538129805,9.781895017623901
disgusted,full,21,-0.022107346,0.00048873405,-0.3047885462641716,8.774293231964112
disgusted,full,22,-0.022107346,0.00048873405,-0.3867423564195633,8.40026569366455
disgusted,full,23,-0.022107346,0.00048873405,-0.5006214529275894,8.211887907981872
disgusted,full,24,-0.022107346,0.00048873405,-0.47308912724256513,8.282415986061096
disgusted,full,25,-0.022107346,0.00048873405,-0.876863208413124,8.334882426261903
disgusted,full,26,-0.022107346,0.00048873405,-1.3509518504142761,8.43904218673706
disgusted,full,27,-0.022107346,0.00048873405,-3.7957944512367248,7.378275370597839
disgusted,orthogonal_matched,20,-0.022107346,0.00048873405,-0.1331489861011505,9.776566171646119
disgusted,orthogonal_matched,21,-0.022107346,0.00048873405,-0.054724955931305885,8.77586841583252
disgusted,orthogonal_matched,22,-0.022107346,0.00048873405,-0.12835131883621215,8.40838556289673
disgusted,orthogonal_matched,23,-0.022107346,0.00048873405,-0.211798107996583,8.217547821998597
disgusted,orthogonal_matched,24,-0.022107346,0.00048873405,-0.16077389884740115,8.28855721950531
disgusted,orthogonal_matched,25,-0.022107346,0.00048873405,-0.5354391030967236,8.334723162651063
disgusted,orthogonal_matched,26,-0.022107346,0.00048873405,-0.9911084979772568,8.439042544364929
disgusted,orthogonal_matched,27,-0.022107346,0.00048873405,-3.3275094389915467,7.348743581771851
furious,full,20,-0.07242821,0.0052458453,-1.1544528633356095,19.9681245803833
furious,full,21,-0.07242821,0.0052458453,-1.299588817358017,17.783381462097168
furious,full,22,-0.07242821,0.0052458453,-1.1143754482269288,15.751182699203492
furious,full,23,-0.07242821,0.0052458453,-0.7327331855893136,15.071041584014893
furious,full,24,-0.07242821,0.0052458453,-0.8796356737613678,15.159118509292602
furious,full,25,-0.07242821,0.0052458453,-0.7401408433914185,15.63273844718933
furious,full,26,-0.07242821,0.0052458453,-0.2862864598631859,14.879094362258911
furious,full,27,-0.07242821,0.0052458453,-1.2076503872871398,10.511433720588684
furious,orthogonal_matched,20,-0.07242821,0.0052458453,0.44107574224472046,19.93706350326538
furious,orthogonal_matched,21,-0.07242821,0.0052458453,0.41046481654047967,17.753853702545165
furious,orthogonal_matched,22,-0.07242821,0.0052458453,0.650073753297329,15.729079151153565
furious,orthogonal_matched,23,-0.07242821,0.0052458453,1.2651996254920959,15.057753133773804
furious,orthogonal_matched,24,-0.07242821,0.0052458453,1.2735626220703125,15.149076700210571
furious,orthogonal_matched,25,-0.07242821,0.0052458453,1.6422013282775878,15.614016342163087
furious,orthogonal_matched,26,-0.07242821,0.0052458453,2.2549634993076326,14.797312259674072
furious,orthogonal_matched,27,-0.07242821,0.0052458453,2.3498885929584503,9.766657161712647
hurt,full,20,0.00070727244,5.002461e-07,-0.28812894523143767,12.004093170166016
hurt,full,21,0.00070727244,5.002461e-07,-0.2973877817392349,10.728580856323243
hurt,full,22,0.00070727244,5.002461e-07,-0.9473732799291611,9.892718601226807
hurt,full,23,0.00070727244,5.002461e-07,-1.1915999621152877,9.955692672729493
hurt,full,24,0.00070727244,5.002461e-07,-1.4971128523349762,10.319355392456055
hurt,full,25,0.00070727244,5.002461e-07,-1.5530480951070786,10.386854124069213
hurt,full,26,0.00070727244,5.002461e-07,-2.3224071681499483,10.628984069824218
hurt,full,27,0.00070727244,5.002461e-07,-4.78712512254715,12.470340871810913
hurt,orthogonal_matched,20,0.00070727244,5.002461e-07,-0.29686020463705065,12.003903150558472
hurt,orthogonal_matched,21,0.00070727244,5.002461e-07,-0.3056157365441322,10.728774309158325
hurt,orthogonal_matched,22,0.00070727244,5.002461e-07,-0.9557830631732941,9.894301652908325
hurt,orthogonal_matched,23,0.00070727244,5.002461e-07,-1.1999543190002442,9.958830738067627
hurt,orthogonal_matched,24,0.00070727244,5.002461e-07,-1.5071691930294038,10.321144819259644
hurt,orthogonal_matched,25,0.00070727244,5.002461e-07,-1.5646109461784363,10.389327049255371
hurt,orthogonal_matched,26,0.00070727244,5.002461e-07,-2.3338632941246034,10.629450225830078
hurt,orthogonal_matched,27,0.00070727244,5.002461e-07,-4.812699103355408,12.474367618560791
miserable,full,20,-0.049927723,0.0024927768,-0.6141477108001709,10.771051502227783
miserable,full,21,-0.049927723,0.0024927768,-0.39894757345318793,10.080746507644653
miserable,full,22,-0.049927723,0.0024927768,-0.46389992982149125,10.00567011833191
miserable,full,23,-0.049927723,0.0024927768,-0.8612274467945099,9.77317771911621
miserable,full,24,-0.049927723,0.0024927768,-0.9608651608228683,10.159601736068726
miserable,full,25,-0.049927723,0.0024927768,-1.1019890010356903,10.395917272567749
miserable,full,26,-0.049927723,0.0024927768,-1.4066894680261612,10.63005485534668
miserable,full,27,-0.049927723,0.0024927768,-2.2673786997795107,10.44598388671875
miserable,orthogonal_matched,20,-0.049927723,0.0024927768,-0.02217812091112137,10.772515630722046
miserable,orthogonal_matched,21,-0.049927723,0.0024927768,0.2377309612929821,10.088420104980468
miserable,orthogonal_matched,22,-0.049927723,0.0024927768,0.19572999104857444,10.022249364852906
miserable,orthogonal_matched,23,-0.049927723,0.0024927768,-0.12565976940095425,9.762200117111206
miserable,orthogonal_matched,24,-0.049927723,0.0024927768,-0.17485527098178863,10.141909313201904
miserable,orthogonal_matched,25,-0.049927723,0.0024927768,-0.2398430161178112,10.37290587425232
miserable,orthogonal_matched,26,-0.049927723,0.0024927768,-0.5025779506191611,10.623332118988037
miserable,orthogonal_matched,27,-0.049927723,0.0024927768,-1.008569324016571,10.25884780883789
hateful,full,20,-0.11198482,0.012540602,-1.4644471287727356,11.092926692962646
hateful,full,21,-0.11198482,0.012540602,-1.514473706483841,10.77145676612854
hateful,full,22,-0.11198482,0.012540602,-1.7286850035190582,10.55739631652832
hateful,full,23,-0.11198482,0.012540602,-2.3141348600387572,10.936465883255005
hateful,full,24,-0.11198482,0.012540602,-2.4300949454307554,11.557146406173706
hateful,full,25,-0.11198482,0.012540602,-2.8988379716873167,11.727760601043702
hateful,full,26,-0.11198482,0.012540602,-3.237063992023468,11.88423113822937
hateful,full,27,-0.11198482,0.012540602,-6.330566358566284,12.60198073387146
hateful,orthogonal_matched,20,-0.11198482,0.012540602,-0.12375852651894093,10.994438791275025
hateful,orthogonal_matched,21,-0.11198482,0.012540602,-0.08074836740270257,10.691440439224243
hateful,orthogonal_matched,22,-0.11198482,0.012540602,-0.2521503422409296,10.461747694015504
hateful,orthogonal_matched,23,-0.11198482,0.012540602,-0.6713588327169419,10.779120683670044
hateful,orthogonal_matched,24,-0.11198482,0.012540602,-0.6480713926255703,11.412772417068481
hateful,orthogonal_matched,25,-0.11198482,0.012540602,-0.9500847920775414,11.562956762313842
hateful,orthogonal_matched,26,-0.11198482,0.012540602,-1.1918889984488488,11.74728512763977
hateful,orthogonal_matched,27,-0.11198482,0.012540602,-3.560558784008026,12.098500537872315
tormented,full,20,-0.15308505,0.023435038,-1.842344629764557,11.353413343429565
tormented,full,21,-0.15308505,0.023435038,-1.6984281241893768,11.34889497756958
tormented,full,22,-0.15308505,0.023435038,-1.630720430612564,11.876936435699463
tormented,full,23,-0.15308505,0.023435038,-2.3424809336662293,12.357522535324097
tormented,full,24,-0.15308505,0.023435038,-2.4497325718402863,13.58926272392273
tormented,full,25,-0.15308505,0.023435038,-3.007719838619232,14.212398529052734
tormented,full,26,-0.15308505,0.023435038,-3.2538831353187563,14.592738723754882
tormented,full,27,-0.15308505,0.023435038,-8.964748740196228,12.934637689590454
tormented,orthogonal_matched,20,-0.15308505,0.023435038,-0.031149210780858992,11.180088567733765
tormented,orthogonal_matched,21,-0.15308505,0.023435038,0.24579177983105183,11.167760372161865
tormented,orthogonal_matched,22,-0.15308505,0.023435038,0.3760711506009102,11.728331804275513
tormented,orthogonal_matched,23,-0.15308505,0.023435038,-0.09241565857082605,12.096211194992065
tormented,orthogonal_matched,24,-0.15308505,0.023435038,-0.007354079373180866,13.30906901359558
tormented,orthogonal_matched,25,-0.15308505,0.023435038,-0.337220174446702,13.84574613571167
tormented,orthogonal_matched,26,-0.15308505,0.023435038,-0.4486472561955452,14.243037891387939
tormented,orthogonal_matched,27,-0.15308505,0.023435038,-5.306299781799316,11.652239227294922
upset,full,20,0.042934418,0.0018433643,0.4429067373275757,12.261017036437988
upset,full,21,0.042934418,0.0018433643,0.7027282059192658,11.13097972869873
upset,full,22,0.042934418,0.0018433643,0.6455210208892822,10.680838060379028
upset,full,23,0.042934418,0.0018433643,0.6257255882024765,10.106400299072266
upset,full,24,0.042934418,0.0018433643,0.3394997246563435,10.176862812042236
upset,full,25,0.042934418,0.0018433643,0.564987899363041,10.292862033843994
upset,full,26,0.042934418,0.0018433643,0.28785911574959755,9.979800367355347
upset,full,27,0.042934418,0.0018433643,1.4003815352916718,9.861508226394653
upset,orthogonal_matched,20,0.042934418,0.0018433643,-0.1056146889925003,12.281316947937011
upset,orthogonal_matched,21,0.042934418,0.0018433643,0.11785607188940048,11.128854608535766
upset,orthogonal_matched,22,0.042934418,0.0018433643,0.03961422219872475,10.666207695007325
upset,orthogonal_matched,23,0.042934418,0.0018433643,-0.05559757649898529,10.082377624511718
upset,orthogonal_matched,24,0.042934418,0.0018433643,-0.40282874517142775,10.166380739212036
upset,orthogonal_matched,25,0.042934418,0.0018433643,-0.24811897948384284,10.286283779144288
upset,orthogonal_matched,26,0.042934418,0.0018433643,-0.5744499828666448,9.927237749099731
upset,orthogonal_matched,27,0.042934418,0.0018433643,0.17195109724998475,9.753022718429566
