condition,layer,mean_delta_sycophancy_projection,sycophancy_ci_low,sycophancy_ci_high,mean_delta_emotion_projection,emotion_ci_low,emotion_ci_high
emotion_orthogonal_matched,38,-0.009894251823425293,-0.06136168599128723,0.03779744029045096,2.7795650601387023,2.6935033172369005,2.8711595484614367
emotion_orthogonal_matched,39,1.9861411094665526,1.2842052376270294,2.6596297562122344,24.976229619979858,23.939275141954422,26.01853828072548
emotion_positive,22,0.6886144250631332,0.6780113381892443,0.6993710653483867,3.2089214086532594,3.190109670907259,3.2271565943211318
emotion_positive,23,0.6713587746024132,0.6576570371165872,0.6850320890545846,3.063620798289776,3.0361692578718062,3.090339768007398
emotion_positive,24,0.6678208343684673,0.6515060714446008,0.6838160907663404,2.945687524974346,2.9181869872286916,2.9741890618950126
emotion_positive,25,0.6853465594351291,0.6672156624309719,0.7032011780515313,2.893006755411625,2.8611389260366558,2.9252853777632115
emotion_positive,26,0.6850739151239396,0.6634193993732334,0.7067402467504144,2.837252099812031,2.799499607011676,2.8769983556494116
emotion_positive,27,0.6770932331681252,0.6525849136710167,0.7006917661428451,2.774045470356941,2.733251082263887,2.8165903444215656
emotion_positive,28,0.6388567849993706,0.6140937395393848,0.6629688952118159,2.7206573635339737,2.6778962970525026,2.7651312930136918
emotion_positive,29,0.6373687162995338,0.6090707095712423,0.6645340618118644,2.6776058465242385,2.6314930053055288,2.7269938667863607
emotion_positive,30,0.6491839848458767,0.6172747050784528,0.6804772988148033,2.6788298308849336,2.628529346510768,2.734720019251108
emotion_positive,31,0.6171343758702278,0.5840601122006774,0.650042283423245,2.6517286717891695,2.596993917673826,2.708061648234725
emotion_positive,32,0.6131147995591164,0.5801161673292518,0.6465234120190143,2.706769675016403,2.6495710602402687,2.762225860953331
emotion_positive,33,0.6190710432827473,0.582931327521801,0.6541678886674345,2.710192984342575,2.6545816877484323,2.7679246947169305
emotion_positive,34,0.683363425731659,0.6438684171438217,0.7215104097127915,2.857200729846954,2.7876092867553237,2.9300469058007
emotion_positive,35,0.7466405868530274,0.6968579310178756,0.7919343283772468,2.850819391012192,2.7834889021515847,2.9235987520217894
emotion_positive,36,0.7754994392395019,0.7255656224489212,0.8217207181453704,2.861132887005806,2.790433588698506,2.9328758130967616
emotion_positive,37,0.9472151279449463,0.8809237349033355,1.0040974307060242,2.92821204662323,2.8483257469534875,3.0130246114730834
emotion_positive,38,0.9099948406219482,0.8279781460762023,0.9804792904853821,2.8885242104530335,2.802366256117821,2.9764693468809127
emotion_positive,39,9.595837354660034,8.58466850399971,10.542200536727902,25.967186391353607,24.888628810346127,27.0439899122715
random_control,22,-0.06376335844397545,-0.06894221022725106,-0.059144959356635815,0.010819730162620545,0.00677747443318367,0.014373681470751761
random_control,23,-0.0515069879591465,-0.05827565493062139,-0.045113513432443145,0.0010302647948265075,-0.003297843523323536,0.005259385965764519
random_control,24,-0.04488408267498016,-0.05345698351040483,-0.037007695455104114,0.006291815638542175,-0.0010022321715950967,0.012614712789654729
random_control,25,-0.04881237298250198,-0.06014046408236027,-0.03858420193195344,-0.014023439586162567,-0.021766011342406275,-0.006537544094026094
random_control,26,-0.04467934817075729,-0.05581307914108038,-0.03454612068831921,-0.02642226070165634,-0.03588766109198332,-0.017338394895195966
random_control,27,-0.05016894787549973,-0.06085097592324019,-0.040294207595288754,-0.021988393366336824,-0.031788675524294374,-0.013155569992959502
random_control,28,-0.035159988701343535,-0.046972021311521533,-0.024396422430872932,-0.005230699479579925,-0.017545843161642552,0.00625826470553874
random_control,29,-0.034426330029964446,-0.04631121411919594,-0.023284852392971518,-0.008501815795898437,-0.022885030806064605,0.005228153616189955
random_control,30,-0.061272387951612474,-0.07409981938079,-0.049617434293031705,-0.019329020380973817,-0.032498087957501406,-0.0064685063064098425
random_control,31,-0.08256877437233925,-0.09508935194462537,-0.07114596500992776,0.007840147614479065,-0.0038238823413848876,0.019337166175246234
random_control,32,-0.08014337792992592,-0.09635823050513863,-0.06561257883906368,-0.0004843771457672119,-0.013596604615449906,0.01180924706161022
random_control,33,-0.08008446842432022,-0.09427739333361387,-0.06754226863384248,-0.00965312123298645,-0.0218632909655571,0.002737115472555147
random_control,34,-0.06171917915344238,-0.07663511216640473,-0.047467568218708046,-0.014851495623588562,-0.027673005536198617,-0.002285218983888635
random_control,35,0.0011049389839172363,-0.015587734282016753,0.0181045114994049,-0.01035148799419403,-0.026643817722797395,0.005930631011724466
random_control,36,-0.0002336740493774414,-0.019930235147476195,0.020055606961250305,-0.009515526890754699,-0.02537301816046238,0.007280445769429184
random_control,37,-0.16608223915100098,-0.190061292052269,-0.1412417095899582,-0.0549444317817688,-0.07349522769451142,-0.03637981712818147
random_control,38,-0.12419471740722657,-0.15070640563964843,-0.09817946076393133,0.023056167364120483,-0.007164397239685057,0.05492116436362263
random_control,39,-1.553758144378662,-1.8788739097118379,-1.1913749754428866,0.5615804672241211,0.26261733293533324,0.853939511179924
