emotion,condition,layer,overlap_cosine,parallel_fraction,mean_delta_sycophancy_projection,mean_delta_emotion_projection
inspired,orthogonal_matched,22,0.15011922,0.02253577,0.001659996761009097,3.690103530883789
inspired,orthogonal_matched,23,0.15011922,0.02253577,-0.010834293975494801,3.559416210651398
inspired,orthogonal_matched,24,0.15011922,0.02253577,-0.026196512975730002,3.428879201412201
inspired,orthogonal_matched,25,0.15011922,0.02253577,-0.05190425701439381,3.3561975002288817
inspired,orthogonal_matched,26,0.15011922,0.02253577,-0.05511584933847189,3.2859412312507628
inspired,orthogonal_matched,27,0.15011922,0.02253577,-0.06629914923105389,3.193307340145111
inspired,orthogonal_matched,28,0.15011922,0.02253577,-0.10142094548791647,3.1511125326156617
inspired,orthogonal_matched,29,0.15011922,0.02253577,-0.11293944362550974,3.105496609210968
inspired,orthogonal_matched,30,0.15011922,0.02253577,-0.17139301262795925,3.1229425430297852
inspired,orthogonal_matched,31,0.15011922,0.02253577,-0.1960157983005047,3.1060829162597656
inspired,orthogonal_matched,32,0.15011922,0.02253577,-0.20645766146481037,3.217658853530884
inspired,orthogonal_matched,33,0.15011922,0.02253577,-0.22259685918688774,3.297179627418518
inspired,orthogonal_matched,34,0.15011922,0.02253577,-0.09358978667296469,3.334776151180267
inspired,orthogonal_matched,35,0.15011922,0.02253577,-0.155320761539042,3.3758738040924072
inspired,orthogonal_matched,36,0.15011922,0.02253577,-0.16453930102288722,3.3522186398506166
inspired,orthogonal_matched,37,0.15011922,0.02253577,-0.11148390742018818,3.3761895060539246
inspired,orthogonal_matched,38,0.15011922,0.02253577,-0.09588300948962569,3.146367084980011
inspired,orthogonal_matched,39,0.15011922,0.02253577,2.554453659057617,27.276475811004637
afraid,full,22,-0.017063756,0.00029117166,-0.032006973214447496,2.739917016029358
afraid,full,23,-0.017063756,0.00029117166,-0.03635059590451419,2.6346831798553465
afraid,full,24,-0.017063756,0.00029117166,-0.038120826706290245,2.560212242603302
afraid,full,25,-0.017063756,0.00029117166,-0.05239785648882389,2.5028551816940308
afraid,full,26,-0.017063756,0.00029117166,-0.04405549392104149,2.4596400022506715
afraid,full,27,-0.017063756,0.00029117166,-0.037631030194461346,2.4062005043029786
afraid,full,28,-0.017063756,0.00029117166,-0.03565339688211679,2.362510418891907
afraid,full,29,-0.017063756,0.00029117166,-0.036455396469682454,2.3078150510787965
afraid,full,30,-0.017063756,0.00029117166,-0.051718599069863556,2.3056171774864196
afraid,full,31,-0.017063756,0.00029117166,-0.030204878048971297,2.2838365912437437
afraid,full,32,-0.017063756,0.00029117166,-0.011885097716003656,2.3234713554382322
afraid,full,33,-0.017063756,0.00029117166,-0.028224052116274833,2.3140347599983215
afraid,full,34,-0.017063756,0.00029117166,0.01758778509683907,2.398444104194641
afraid,full,35,-0.017063756,0.00029117166,0.0014635028783231974,2.4107688426971436
afraid,full,36,-0.017063756,0.00029117166,0.004471177887171507,2.367421305179596
afraid,full,37,-0.017063756,0.00029117166,-0.022005715989507735,2.386003887653351
afraid,full,38,-0.017063756,0.00029117166,-0.11949201868847012,2.3368347227573394
afraid,full,39,-0.017063756,0.00029117166,-1.0282000370323658,17.3590247631073
afraid,orthogonal_matched,22,-0.017063756,0.00029117166,0.014943844079971314,2.7400214791297914
afraid,orthogonal_matched,23,-0.017063756,0.00029117166,0.009531227848492562,2.6349008083343506
afraid,orthogonal_matched,24,-0.017063756,0.00029117166,0.007319328840821981,2.560557472705841
afraid,orthogonal_matched,25,-0.017063756,0.00029117166,-0.006161176413297653,2.5030528783798216
afraid,orthogonal_matched,26,-0.017063756,0.00029117166,0.0015452456194907428,2.4597673535346987
afraid,orthogonal_matched,27,-0.017063756,0.00029117166,0.007572584832087159,2.4064962029457093
afraid,orthogonal_matched,28,-0.017063756,0.00029117166,0.009370187018066644,2.3629833221435548
afraid,orthogonal_matched,29,-0.017063756,0.00029117166,0.008158502355217933,2.308246672153473
afraid,orthogonal_matched,30,-0.017063756,0.00029117166,-0.0058695647399872545,2.305670881271362
afraid,orthogonal_matched,31,-0.017063756,0.00029117166,0.015896854922175407,2.2832343220710754
afraid,orthogonal_matched,32,-0.017063756,0.00029117166,0.0362650990486145,2.323204755783081
afraid,orthogonal_matched,33,-0.017063756,0.00029117166,0.021694090589880942,2.314476954936981
afraid,orthogonal_matched,34,-0.017063756,0.00029117166,0.06789913065731526,2.398801398277283
afraid,orthogonal_matched,35,-0.017063756,0.00029117166,0.05520788859575987,2.411851477622986
afraid,orthogonal_matched,36,-0.017063756,0.00029117166,0.0588047256693244,2.368778705596924
afraid,orthogonal_matched,37,-0.017063756,0.00029117166,0.040409120125696064,2.3872862219810487
afraid,orthogonal_matched,38,-0.017063756,0.00029117166,-0.05737941423431039,2.3434570729732513
afraid,orthogonal_matched,39,-0.017063756,0.00029117166,-0.4924509018659592,17.44582438468933
depressed,full,22,-0.08609949,0.0074131233,-0.25316471979022026,2.719684159755707
depressed,full,23,-0.08609949,0.0074131233,-0.236643086373806,2.590031659603119
depressed,full,24,-0.08609949,0.0074131233,-0.24960705861449242,2.4923575043678285
depressed,full,25,-0.08609949,0.0074131233,-0.31746421903371813,2.435928964614868
depressed,full,26,-0.08609949,0.0074131233,-0.31624500676989553,2.376302993297577
depressed,full,27,-0.08609949,0.0074131233,-0.31429279297590257,2.3140320897102358
depressed,full,28,-0.08609949,0.0074131233,-0.30984134823083875,2.2722351431846617
depressed,full,29,-0.08609949,0.0074131233,-0.32597577944397926,2.2241941928863525
depressed,full,30,-0.08609949,0.0074131233,-0.3392782613635063,2.2215036869049074
depressed,full,31,-0.08609949,0.0074131233,-0.3416943408548832,2.191228461265564
depressed,full,32,-0.08609949,0.0074131233,-0.3526844270527363,2.2128597140312194
depressed,full,33,-0.08609949,0.0074131233,-0.42566228955984114,2.256813657283783
depressed,full,34,-0.08609949,0.0074131233,-0.3852106750011444,2.323728346824646
depressed,full,35,-0.08609949,0.0074131233,-0.427662567794323,2.3121307730674743
depressed,full,36,-0.08609949,0.0074131233,-0.4378685176372528,2.3026561737060547
depressed,full,37,-0.08609949,0.0074131233,-0.509624058008194,2.3540629386901855
depressed,full,38,-0.08609949,0.0074131233,-0.5370179817080498,2.3449533700942995
depressed,full,39,-0.08609949,0.0074131233,-3.577507126331329,19.071917057037354
