question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval04,emotion,22,8,-0.0055637359619140625,0.000302731990814209
eval04,emotion,22,9,0.002947568893432617,0.0036897659301757812
eval04,emotion,22,10,0.0013050734996795654,0.0042075514793396
eval04,emotion,22,11,-0.002007007598876953,0.0001850128173828125
eval04,emotion,22,12,0.000658765435218811,0.0014538764953613281
eval04,emotion,22,13,0.00333210825920105,0.0018979310989379883
eval04,emotion,22,14,-0.0009300112724304199,-6.699562072753906e-05
eval04,emotion,22,15,0.0008310675621032715,0.00010097026824951172
eval04,emotion,22,16,0.0007902383804321289,0.004123687744140625
eval04,emotion,22,17,-0.0019527077674865723,-0.0032829642295837402
eval04,emotion,22,18,4.0471553802490234e-05,-0.0020139217376708984
eval04,emotion,22,19,0.0011262893676757812,8.606910705566406e-05
eval04,emotion,22,20,-0.0012580156326293945,-0.002070307731628418
eval04,emotion,39,1,0.2647247314453125,3.2415332794189453
eval04,emotion,39,2,1.7816619873046875,3.1050243377685547
eval04,emotion,39,3,1.0497636795043945,1.4625186920166016
eval04,emotion,39,4,-0.2699871063232422,1.2503700256347656
eval04,emotion,39,5,1.9758682250976562,1.3183212280273438
eval04,emotion,39,6,0.5289306640625,0.1460723876953125
eval04,emotion,39,7,0.22507095336914062,0.08127021789550781
eval04,emotion,39,8,2.280517578125,1.6599502563476562
eval04,emotion,39,9,0.08600616455078125,-0.07393646240234375
eval04,emotion,39,10,-0.6658096313476562,-0.7724037170410156
eval04,emotion,39,11,-0.3862490653991699,0.7134552001953125
eval04,emotion,39,12,0.845367431640625,-0.7518081665039062
eval04,emotion,39,13,0.5044956207275391,-0.00455474853515625
eval04,emotion,39,14,-0.0445404052734375,0.4544239044189453
eval04,emotion,39,15,0.9420967102050781,-0.32996368408203125
eval04,emotion,39,16,0.23850631713867188,0.09698867797851562
eval04,emotion,39,17,0.05174446105957031,-0.705474853515625
eval04,emotion,39,18,-0.2547645568847656,0.685302734375
eval04,emotion,39,19,-0.2269878387451172,0.2741241455078125
eval04,emotion,39,20,0.2340087890625,0.464385986328125
eval04,persona,22,1,0.0046967267990112305,-0.004836171865463257
eval04,persona,22,2,0.04411816596984863,0.015578582882881165
eval04,persona,22,3,0.039464473724365234,0.006030917167663574
eval04,persona,22,4,0.014408111572265625,0.005701035261154175
eval04,persona,22,5,0.004937648773193359,0.0012017488479614258
eval04,persona,22,6,0.007683515548706055,0.0033420026302337646
eval04,persona,22,7,-0.0009109973907470703,-0.002323746681213379
eval04,persona,22,8,0.01162409782409668,0.003947436809539795
eval04,persona,22,9,0.011141657829284668,0.0021122097969055176
eval04,persona,22,10,0.0030993223190307617,0.0018714666366577148
eval04,persona,22,11,0.00041615962982177734,0.0009400844573974609
eval04,persona,22,12,0.0013615190982818604,9.1552734375e-05
eval04,persona,22,13,0.0035143494606018066,0.00046384334564208984
eval04,persona,22,14,0.0016534924507141113,0.0021681785583496094
eval04,persona,22,15,0.002004683017730713,0.0004941225051879883
eval04,persona,22,16,0.0025311708450317383,0.003133058547973633
eval04,persona,22,17,0.0030528604984283447,0.0008900761604309082
eval04,persona,22,18,0.0038565397262573242,-0.00027620792388916016
eval04,persona,22,19,0.0019927024841308594,-0.0012717247009277344
eval04,persona,22,20,-0.0015280842781066895,-0.0017462968826293945
eval04,persona,39,1,10.313236236572266,-0.5150566101074219
eval04,persona,39,2,8.594470977783203,1.2832984924316406
eval04,persona,39,3,8.9705810546875,1.6839847564697266
eval04,persona,39,4,4.360931396484375,-0.27386474609375
eval04,persona,39,5,3.9625396728515625,-0.7346725463867188
eval04,persona,39,6,0.7398223876953125,-0.6173458099365234
eval04,persona,39,7,0.2604522705078125,-0.04058551788330078
eval04,persona,39,8,5.400581359863281,-0.3743133544921875
eval04,persona,39,9,0.4579925537109375,0.7054595947265625
eval04,persona,39,10,0.29424095153808594,-0.6221580505371094
eval04,persona,39,11,0.05285453796386719,0.09477996826171875
eval04,persona,39,12,1.2474308013916016,-0.6215896606445312
eval04,persona,39,13,1.3810510635375977,-1.3318634033203125
eval04,persona,39,14,0.0716552734375,-0.21590614318847656
eval04,persona,39,15,0.5389118194580078,-0.809844970703125
eval04,persona,39,16,2.141918182373047,-0.36853790283203125
eval04,persona,39,17,2.4130496978759766,-1.1715621948242188
eval04,persona,39,18,0.8838701248168945,-0.11572647094726562
eval04,persona,39,19,0.6096687316894531,0.5044479370117188
eval04,persona,39,20,0.032802581787109375,-0.7603988647460938
eval05,emotion,22,1,0.011009693145751953,0.05611729621887207
eval05,emotion,22,2,-5.841255187988281e-06,0.013193130493164062
eval05,emotion,22,3,0.004105567932128906,0.027268648147583008
eval05,emotion,22,4,0.003517627716064453,0.015039443969726562
eval05,emotion,22,5,0.0033292770385742188,0.0032520294189453125
eval05,emotion,22,6,0.0013871192932128906,0.024340152740478516
eval05,emotion,22,7,0.0032520294189453125,0.011049985885620117
eval05,emotion,22,8,0.0010867118835449219,0.004293203353881836
eval05,emotion,22,9,-0.002846240997314453,0.004831552505493164
eval05,emotion,22,10,-0.0009279251098632812,0.004209041595458984
eval05,emotion,22,11,0.0018140971660614014,0.0020608901977539062
eval05,emotion,22,12,2.86102294921875e-06,0.00453639030456543
eval05,emotion,22,13,0.0012938976287841797,0.006093382835388184
eval05,emotion,22,14,0.0049285888671875,0.004354715347290039
eval05,emotion,22,15,-0.0001735687255859375,6.747245788574219e-05
eval05,emotion,22,16,0.000571519136428833,-0.00020003318786621094
eval05,emotion,22,17,0.002215147018432617,0.0020644664764404297
eval05,emotion,22,18,-0.0027327537536621094,0.0004112720489501953
eval05,emotion,22,19,0.0013358592987060547,0.001654982566833496
eval05,emotion,22,20,0.0007383823394775391,0.0012085437774658203
eval05,emotion,39,1,0.08813095092773438,2.8553848266601562
eval05,emotion,39,2,0.00516510009765625,3.51669979095459
eval05,emotion,39,3,1.717864990234375,5.046543121337891
eval05,emotion,39,4,0.9196395874023438,1.3554801940917969
eval05,emotion,39,5,1.7258110046386719,1.8538494110107422
eval05,emotion,39,6,3.6159820556640625,5.513896942138672
eval05,emotion,39,7,1.003082275390625,2.1350326538085938
eval05,emotion,39,8,0.5652923583984375,1.3901934623718262
eval05,emotion,39,9,0.8842506408691406,0.5274124145507812
eval05,emotion,39,10,0.16659164428710938,1.1154060363769531
eval05,emotion,39,11,-0.035045623779296875,-0.4563302993774414
eval05,emotion,39,12,0.4703178405761719,0.9211578369140625
eval05,emotion,39,13,-0.07930374145507812,1.6994171142578125
eval05,emotion,39,14,0.5980701446533203,-0.19507980346679688
eval05,emotion,39,15,0.38655853271484375,0.5752964019775391
eval05,emotion,39,16,-0.8645095825195312,-0.6963958740234375
eval05,emotion,39,17,-0.14203166961669922,0.5617513656616211
eval05,emotion,39,18,-1.2315444946289062,-0.1915297508239746
eval05,emotion,39,19,-0.4039897918701172,0.011672496795654297
eval05,emotion,39,20,-0.06277656555175781,0.06015348434448242
eval05,persona,22,1,0.058320045471191406,0.018582820892333984
eval05,persona,22,2,0.007726550102233887,0.0014331340789794922
eval05,persona,22,3,0.0520482063293457,0.006308555603027344
eval05,persona,22,4,0.012412071228027344,0.0038118362426757812
eval05,persona,22,5,0.015448927879333496,0.0033540725708007812
eval05,persona,22,6,0.06645059585571289,0.014876127243041992
eval05,persona,22,7,0.035640716552734375,0.004636287689208984
eval05,persona,22,8,0.015958786010742188,0.003062725067138672
eval05,persona,22,9,0.015548229217529297,0.00420379638671875
eval05,persona,22,10,0.010315418243408203,0.002065420150756836
eval05,persona,22,11,0.002606004476547241,0.002574443817138672
eval05,persona,22,12,0.02647686004638672,0.007546901702880859
eval05,persona,22,13,0.021479129791259766,0.0016164779663085938
eval05,persona,22,14,0.009105682373046875,-0.00034427642822265625
eval05,persona,22,15,0.0025675296783447266,0.0003447532653808594
eval05,persona,22,16,0.0005164593458175659,-0.0021094083786010742
