layer,clean_emotion_k80,clean_emotion_rank,clean_projection_top80,clean_projection_full,clean_principal_angle_deg,clean_random_expected,clean_random_p,raw_emotion_k80,raw_projection_top80,raw_projection_full,raw_random_expected,raw_random_p,mean_pair_projection_fraction,std_pair_projection_fraction,min_pair_projection_fraction,clean_random_p_bonferroni,raw_random_p_bonferroni,mean_pairwise_cosine,min_pairwise_cosine,emotion_valence_strength,mean_split_half_cosine,median_split_half_cosine,neutral_components_removed,stage1_selected_layer
10,14,170,0.29489102959632874,0.5416900515556335,57.10926311802164,0.003418803418803419,1.561125331846748e-296,1,0.013502595946192741,0.545993983745575,0.000244140625,8.602059445570742e-14,0.26163044571876526,0.052802037447690964,0.21305468678474426,6.244501327386993e-295,3.4408237782282965e-12,0.8148714900016785,0.7373185157775879,0.2439385860768206,0.98304283618927,0.987602174282074,1,False
11,15,170,0.2456498146057129,0.4954150915145874,60.288650403975595,0.003663003663003663,3.434693190740945e-236,1,0.010042202658951283,0.4982602000236511,0.000244140625,1.288665896677921e-10,0.22225496172904968,0.0588974766433239,0.14902175962924957,1.373877276296378e-234,5.154663586711683e-09,0.8061473965644836,0.7258691787719727,0.1407035333722451,0.9819912314414978,0.9868951439857484,1,False
12,15,170,0.2611905634403229,0.5120145678520203,59.265001001849434,0.003663003663003663,1.844844656799508e-254,1,0.009063396602869034,0.5142398476600647,0.000244140625,1.023666659483942e-09,0.23628120124340057,0.06070315092802048,0.1522219181060791,7.379378627198033e-253,4.094666637935768e-08,0.8103765249252319,0.7187221050262451,0.1742840754120106,0.9818642735481262,0.9865983128547668,1,False
13,16,170,0.21071653068065643,0.4780306816101074,62.674905868155314,0.003907203907203907,1.4073591387378627e-195,1,0.009976875968277454,0.4801609516143799,0.000244140625,1.4796961302635703e-10,0.19938544929027557,0.05206945538520813,0.1319190263748169,5.629436554951451e-194,5.918784521054282e-09,0.7801582217216492,0.6975194215774536,0.3770689963750634,0.9818405508995056,0.986580729484558,1,False
14,17,170,0.1935335099697113,0.4199161231517792,63.900940000768635,0.004151404151404151,7.36372103430217e-176,1,0.006703403778374195,0.421641081571579,0.000244140625,1.5391897182040667e-07,0.18419800698757172,0.023766938596963882,0.15967775881290436,2.945488413720868e-174,6.156758872816267e-06,0.771532416343689,0.6748460531234741,0.5530785489445211,0.9819450974464417,0.9863194227218628,1,False
15,17,170,0.1635804921388626,0.4046878218650818,66.14328068379884,0.004151404151404151,4.114063759680889e-144,1,0.004472400061786175,0.4052591025829315,0.000244140625,1.83499395269721e-05,0.16026389598846436,0.020609702914953232,0.1291540265083313,1.6456255038723556e-142,0.000733997581078884,0.7812488079071045,0.6786189079284668,0.6841944435152976,0.9830268621444702,0.9872697591781616,1,False
16,23,170,0.15396738052368164,0.35885897278785706,66.89690679083242,0.005619350109943806,2.4574118751074807e-129,1,0.003545419778674841,0.36132925748825073,0.000244140625,0.00013703182785486042,0.15571098029613495,0.011391153559088707,0.13361622393131256,9.829647500429922e-128,0.005481273114194417,0.7924355864524841,0.6999382376670837,0.6829717616393601,0.9819983839988708,0.9859008193016052,3,False
17,23,170,0.13181445002555847,0.32580533623695374,68.71159978867567,0.005619350109943806,3.375799922329935e-107,1,0.00325369113124907,0.3273526728153229,0.000244140625,0.00025925640423791633,0.1347302794456482,0.011799762025475502,0.12408646941184998,1.350319968931974e-105,0.010370256169516654,0.8145074844360352,0.730619490146637,0.6709688556069002,0.9817083477973938,0.9859105944633484,3,False
18,22,170,0.13087913393974304,0.3456813097000122,68.79092636774064,0.005376344086021506,5.608080728943543e-107,1,0.003646605648100376,0.3475320637226105,0.000244140625,0.00010991246688815527,0.13165485858917236,0.008318250067532063,0.12174905836582184,2.243232291577417e-105,0.004396498675526211,0.8345673680305481,0.7671751379966736,0.708559891804546,0.9827706217765808,0.9865322709083556,4,False
19,23,170,0.12210939824581146,0.336687833070755,69.54683825000173,0.005623471882640587,1.222325293678013e-97,1,0.002807673066854477,0.34130990505218506,0.000244140625,0.0006914139810507186,0.1217559203505516,0.007743908558040857,0.11111923307180405,4.889301174712053e-96,0.027656559242028745,0.842121422290802,0.7788277864456177,0.6803697404568976,0.980741798877716,0.9854362607002258,6,False
20,22,170,0.11824820935726166,0.3401172459125519,69.8870235414054,0.005380288579114698,1.3813635586253472e-94,1,0.0021911496296525,0.3446101248264313,0.000244140625,0.0027272578736383217,0.11840438842773438,0.010500947944819927,0.10312217473983765,5.525454234501388e-93,0.10909031494553287,0.8416129350662231,0.776747465133667,0.7000627336525121,0.981455385684967,0.9858887195587158,7,False
21,24,170,0.1197434514760971,0.3307245373725891,69.75472614609802,0.005870841487279843,1.331800768214116e-94,3,0.0639045313000679,0.33504918217658997,0.000732421875,2.6243649320980172e-58,0.11784850060939789,0.009633500128984451,0.10153096914291382,5.327203072856464e-93,1.049745972839207e-56,0.8536931872367859,0.7886461615562439,0.6683901581418948,0.980201780796051,0.9847428202629088,8,True
22,24,170,0.11644056439399719,0.3280829191207886,70.04793314337068,0.005870841487279843,1.9790178424362906e-91,5,0.07017015665769577,0.33351653814315796,0.001220703125,3.059998223319973e-62,0.11562476307153702,0.005953684914857149,0.1066598892211914,7.916071369745163e-90,1.2239992893279893e-60,0.8512737154960632,0.7677471041679382,0.6694988424316954,0.9777358174324036,0.9829691648483276,8,False
23,25,170,0.10658030211925507,0.3095844089984894,70.94556068248693,0.006116956202593589,2.2430926546581264e-81,6,0.07012435048818588,0.3159825801849365,0.00146484375,2.800463743172325e-61,0.1067689061164856,0.005457826890051365,0.09776920080184937,8.972370618632505e-80,1.12018549726893e-59,0.8464082479476929,0.7514890432357788,0.6753889832539535,0.9774799942970276,0.9825924634933472,9,False
24,25,170,0.10348757356405258,0.2978140115737915,71.23454704110206,0.006116956202593589,1.7889533066474341e-78,6,0.07037805765867233,0.3055896461009979,0.00146484375,1.6143363381527396e-61,0.10339570045471191,0.0052878898568451405,0.09556611627340317,7.155813226589737e-77,6.457345352610959e-60,0.8447631001472473,0.7476068735122681,0.6870937852527669,0.9786460995674132,0.9837501645088196,9,False
25,24,170,0.11413715034723282,0.3126639127731323,70.25455452953749,0.005872277954489846,3.3434385848023684e-89,8,0.09414046257734299,0.32339373230934143,0.001953125,2.0627166493166233e-82,0.11275515705347061,0.006136038806289434,0.10776341706514359,1.3373754339209472e-87,8.250866597266493e-81,0.844671368598938,0.734128475189209,0.7009539860565702,0.9776907563209534,0.983041524887085,9,False
26,24,170,0.10844480991363525,0.30156105756759644,70.77312386363717,0.005872277954489846,8.551150507098258e-84,8,0.09003426879644394,0.31322598457336426,0.001953125,1.8681867024473134e-78,0.10718701779842377,0.0070374333299696445,0.09911444038152695,3.420460202839303e-82,7.472746809789254e-77,0.8409708142280579,0.7268394231796265,0.6990134818665745,0.9774553775787354,0.9828495979309082,9,False
27,24,170,0.10626918822526932,0.2970682978630066,70.97446250804768,0.005872277954489846,9.682969011348378e-82,9,0.08666221052408218,0.30962899327278137,0.002197265625,2.306377329236819e-74,0.10394036769866943,0.007980294525623322,0.09518836438655853,3.8731876045393514e-80,9.225509316947276e-73,0.8392807841300964,0.7269968390464783,0.7091655040006968,0.9780381321907043,0.98317950963974,9,False
28,25,170,0.09851313382387161,0.2847301959991455,71.70750929436899,0.006116956202593589,7.735603307364352e-74,10,0.08252914249897003,0.2987193763256073,0.00244140625,1.3029852550814863e-69,0.09725947678089142,0.007839416153728962,0.088325135409832,3.0942413229457405e-72,5.211941020325945e-68,0.8291032910346985,0.6987167596817017,0.7133536668062298,0.977559506893158,0.9826835989952089,9,False
29,25,170,0.09973015636205673,0.2771006226539612,71.59083482037371,0.006116956202593589,5.726757525380673e-75,11,0.07918529212474823,0.28778186440467834,0.002685546875,1.1387217964822254e-65,0.09782883524894714,0.007575694005936384,0.0899728313088417,2.2907030101522692e-73,4.5548871859289016e-64,0.8308898210525513,0.7205088138580322,0.7104996319549407,0.9777926802635192,0.9826933145523072,9,False
30,26,170,0.10939186811447144,0.2844114601612091,70.6860353244302,0.006361634450697333,2.2669214915920514e-83,12,0.07463320344686508,0.28829339146614075,0.0029296875,1.1621247286148863e-60,0.10775898396968842,0.009355740621685982,0.0949045866727829,9.067685966368205e-82,4.648498914459545e-59,0.8370688557624817,0.7299507260322571,0.7280006828769555,0.9770290851593018,0.981965720653534,9,False
31,27,170,0.10934754461050034,0.27590230107307434,70.69010377899464,0.0066063126988010765,1.1059076998547297e-82,13,0.07077936083078384,0.2779703736305237,0.003173828125,2.2591283581024533e-56,0.10772211849689484,0.008448753505945206,0.09636891633272171,4.423630799418919e-81,9.036513432409814e-55,0.8286830186843872,0.7195807695388794,0.6998620407601239,0.975523829460144,0.9807541966438292,9,False
32,27,170,0.12716707587242126,0.30375778675079346,69.10816108421136,0.0066063126988010765,1.101827469350713e-99,15,0.09424661099910736,0.30604612827301025,0.003662109375,7.435906733165966e-77,0.12386804819107056,0.012655110098421574,0.10308945178985596,4.4073098774028517e-98,2.9743626932663864e-75,0.8277748823165894,0.6968015432357788,0.6315435946001923,0.976043164730072,0.9809380173683168,9,False
33,28,170,0.12006516009569168,0.2851119041442871,69.72635524779838,0.0068509909469048206,3.441407745305843e-92,17,0.0875316709280014,0.29047927260398865,0.004150390625,4.2494212496407113e-69,0.11580705642700195,0.013020673766732216,0.09271561354398727,1.3765630981223373e-90,1.6997684998562845e-67,0.8242723345756531,0.7026443481445312,0.7210892695522079,0.9746675491333008,0.979931890964508,9,False
34,31,170,0.1034410148859024,0.26533421874046326,71.23892643728954,0.0075868820362212435,1.1077805749344136e-74,23,0.0937659740447998,0.2728292942047119,0.005615234375,6.747844645162817e-71,0.10145704448223114,0.005186368711292744,0.09224345535039902,4.431122299737654e-73,2.699137858065127e-69,0.7936292886734009,0.6517943143844604,0.7216487815173752,0.9722803831100464,0.9778952598571776,10,False
35,32,170,0.10733268409967422,0.27665624022483826,70.87581910540197,0.00783162016642193,1.1175529198977593e-77,26,0.11159449070692062,0.2851901948451996,0.00634765625,1.1361216537359052e-85,0.10574314743280411,0.006033893208950758,0.09486203640699387,4.470211679591037e-76,4.544486614943621e-84,0.7842802405357361,0.6592490673065186,0.7036876018874563,0.9732607007026672,0.978675663471222,10,False
36,33,170,0.10233049094676971,0.2597433924674988,71.34364424601905,0.008076358296622614,1.7472452956810776e-72,29,0.10972003638744354,0.2718627452850342,0.007080078125,5.608109538073039e-82,0.10184502601623535,0.009341475553810596,0.09360570460557938,6.98898118272431e-71,2.243243815229216e-80,0.7816211581230164,0.6538217067718506,0.7141633210992012,0.9765393137931824,0.9813321828842164,10,False
37,34,170,0.11248365789651871,0.26559364795684814,70.40399796532142,0.008321096426823299,2.918950097338844e-81,30,0.11465156823396683,0.2747354805469513,0.00732421875,5.420607218934944e-86,0.11220302432775497,0.008728750981390476,0.1066608801484108,1.1675800389355375e-79,2.1682428875739775e-84,0.803194522857666,0.7002333402633667,0.6702749334599756,0.9806122183799744,0.9843297004699708,10,False
38,36,170,0.10693661123514175,0.2286575734615326,70.91250591462514,0.00881057268722467,5.676249110380638e-75,33,0.11022515594959259,0.23810037970542908,0.008056640625,5.353697148064352e-80,0.11087135970592499,0.011355613358318806,0.09942901879549026,2.2704996441522555e-73,2.1414788592257408e-78,0.7692198753356934,0.6537408828735352,0.6621413557406309,0.984336793422699,0.9873473644256592,10,False
39,36,170,0.2150527536869049,0.36533457040786743,62.37143436588022,0.008806262230919765,2.0325428849256603e-183,33,0.24677154421806335,0.39923346042633057,0.008056640625,1.4147332925613196e-221,0.21262891590595245,0.011954238638281822,0.18902060389518738,8.130171539702641e-182,5.6589331702452784e-220,0.7818366289138794,0.6465094685554504,0.5468833053293954,0.9712815284729004,0.9768664836883544,8,False
